"TOA5","6550","CR6","6550","CR6.Std.06.03","CPU:Lab_atmos_phys.CR6","45515","Thermohygrometer"
"TIMESTAMP","RECORD","TC","RH"
"TS","RN","Deg C","%"
"","","Smp","Smp"
"2021-12-03 09:16:47",256159,21.12,38.86
"2021-12-03 09:16:48",256160,21.12,38.85
"2021-12-03 09:16:49",256161,21.12,38.84
"2021-12-03 09:16:50",256162,21.12,38.83
"2021-12-03 09:16:51",256163,21.13,38.85
"2021-12-03 09:16:52",256164,21.1,38.85
"2021-12-03 09:16:53",256165,21.1,38.89
"2021-12-03 09:16:54",256166,21.1,38.88
"2021-12-03 09:16:55",256167,21.13,38.9
"2021-12-03 09:16:56",256168,21.12,38.91
"2021-12-03 09:16:57",256169,21.12,38.91
"2021-12-03 09:16:58",256170,21.12,38.9
"2021-12-03 09:16:59",256171,21.11,38.91
"2021-12-03 09:17:00",256172,21.11,38.92
"2021-12-03 09:17:01",256173,21.09,38.9
"2021-12-03 09:17:02",256174,21.11,38.9
"2021-12-03 09:17:03",256175,21.09,38.91
"2021-12-03 09:17:04",256176,21.14,38.93
"2021-12-03 09:17:05",256177,21.14,38.93
"2021-12-03 09:17:06",256178,21.11,38.93
"2021-12-03 09:17:07",256179,21.1,38.93
"2021-12-03 09:17:08",256180,21.12,38.93
"2021-12-03 09:17:09",256181,21.1,38.91
"2021-12-03 09:17:10",256182,21.11,38.92
"2021-12-03 09:17:11",256183,21.11,38.89
"2021-12-03 09:17:12",256184,21.09,38.88
"2021-12-03 09:17:13",256185,21.13,38.87
"2021-12-03 09:17:14",256186,21.13,38.88
"2021-12-03 09:17:15",256187,21.13,38.87
"2021-12-03 09:17:16",256188,21.1,38.87
"2021-12-03 09:17:17",256189,21.14,38.87
"2021-12-03 09:17:18",256190,21.12,38.85
"2021-12-03 09:17:19",256191,21.12,38.85
"2021-12-03 09:17:20",256192,21.12,38.85
"2021-12-03 09:17:21",256193,21.12,38.83
"2021-12-03 09:17:22",256194,21.12,38.85
"2021-12-03 09:17:23",256195,21.13,38.82
"2021-12-03 09:17:24",256196,21.12,38.82
"2021-12-03 09:17:25",256197,21.08,38.79
"2021-12-03 09:17:26",256198,21.13,38.82
"2021-12-03 09:17:27",256199,21.11,38.81
"2021-12-03 09:17:28",256200,21.09,38.81
"2021-12-03 09:17:29",256201,21.09,38.84
"2021-12-03 09:17:30",256202,21.11,38.86
"2021-12-03 09:17:31",256203,21.14,38.88
"2021-12-03 09:17:32",256204,21.12,38.89
"2021-12-03 09:17:33",256205,21.12,38.88
