"TOA5","6550","CR6","6550","CR6.Std.06.03","CPU:Lab_atmos_phys.CR6","45515","Sonic_Anemometer"
"TIMESTAMP","RECORD","u","v","w","t"
"TS","RN","m/s","m/s","m/s","C"
"","","Smp","Smp","Smp","Smp"
"2021-12-03 09:15:04.25",5125590,0.053,0.021,0.01,21.63
"2021-12-03 09:15:04.3",5125591,0.053,0.019,0.011,21.62
"2021-12-03 09:15:04.35",5125592,0.05,0.022,0.009,21.59
"2021-12-03 09:15:04.4",5125593,0.053,0.02,0.01,21.61
"2021-12-03 09:15:04.45",5125594,0.054,0.022,0.008,21.62
"2021-12-03 09:15:04.5",5125595,0.055,0.02,0.01,21.59
"2021-12-03 09:15:04.55",5125596,0.054,0.019,0.01,21.56
"2021-12-03 09:15:04.6",5125597,0.054,0.021,0.011,21.56
"2021-12-03 09:15:04.65",5125598,0.054,0.016,0.011,21.59
"2021-12-03 09:15:04.7",5125599,0.052,0.019,0.011,21.59
"2021-12-03 09:15:04.75",5125600,0.056,0.018,0.01,21.59
"2021-12-03 09:15:04.8",5125601,0.053,0.018,0.01,21.59
"2021-12-03 09:15:04.85",5125602,0.054,0.018,0.013,21.54
"2021-12-03 09:15:04.9",5125603,0.053,0.019,0.013,21.56
"2021-12-03 09:15:04.95",5125604,0.054,0.019,0.014,21.61
"2021-12-03 09:15:05",5125605,0.056,0.019,0.014,21.56
"2021-12-03 09:15:05.05",5125606,0.055,0.02,0.015,21.57
"2021-12-03 09:15:05.1",5125607,0.057,0.017,0.015,21.59
"2021-12-03 09:15:05.15",5125608,0.056,0.019,0.016,21.6
"2021-12-03 09:15:05.2",5125609,0.057,0.022,0.018,21.57
"2021-12-03 09:15:05.25",5125610,0.057,0.022,0.017,21.57
"2021-12-03 09:15:05.3",5125611,0.06,0.02,0.017,21.57
"2021-12-03 09:15:05.35",5125612,0.056,0.023,0.017,21.57
"2021-12-03 09:15:05.4",5125613,0.056,0.023,0.017,21.57
"2021-12-03 09:15:05.45",5125614,0.057,0.022,0.018,21.57
"2021-12-03 09:15:05.5",5125615,0.056,0.025,0.017,21.56
"2021-12-03 09:15:05.55",5125616,0.055,0.022,0.016,21.56
"2021-12-03 09:15:05.6",5125617,0.057,0.022,0.018,21.56
"2021-12-03 09:15:05.65",5125618,0.056,0.02,0.017,21.56
"2021-12-03 09:15:05.7",5125619,0.054,0.021,0.018,21.56
"2021-12-03 09:15:05.75",5125620,0.054,0.021,0.019,21.54
"2021-12-03 09:15:05.8",5125621,0.056,0.018,0.017,21.54
"2021-12-03 09:15:05.85",5125622,0.053,0.023,0.019,21.54
"2021-12-03 09:15:05.9",5125623,0.055,0.019,0.02,21.54
"2021-12-03 09:15:05.95",5125624,0.051,0.019,0.019,21.53
"2021-12-03 09:15:06",5125625,0.052,0.02,0.021,21.53
"2021-12-03 09:15:06.05",5125626,0.052,0.019,0.022,21.53
"2021-12-03 09:15:06.1",5125627,0.048,0.016,0.019,21.53
"2021-12-03 09:15:06.15",5125628,0.049,0.017,0.021,21.53
"2021-12-03 09:15:06.2",5125629,0.051,0.018,0.022,21.51
"2021-12-03 09:15:06.25",5125630,0.048,0.015,0.021,21.53
"2021-12-03 09:15:06.3",5125631,0.05,0.019,0.022,21.53
"2021-12-03 09:15:06.35",5125632,0.05,0.018,0.021,21.53
"2021-12-03 09:15:06.4",5125633,0.05,0.02,0.021,21.49
"2021-12-03 09:15:06.45",5125634,0.052,0.02,0.022,21.49
"2021-12-03 09:15:06.5",5125635,0.051,0.023,0.021,21.49
"2021-12-03 09:15:06.55",5125636,0.052,0.025,0.021,21.47
"2021-12-03 09:15:06.6",5125637,0.053,0.027,0.022,21.48
"2021-12-03 09:15:06.65",5125638,0.052,0.024,0.02,21.48
"2021-12-03 09:15:06.7",5125639,0.052,0.026,0.02,21.49
"2021-12-03 09:15:06.75",5125640,0.053,0.024,0.02,21.49
"2021-12-03 09:15:06.8",5125641,0.053,0.024,0.016,21.48
"2021-12-03 09:15:06.85",5125642,0.055,0.024,0.018,21.47
"2021-12-03 09:15:06.9",5125643,0.055,0.025,0.017,21.47
"2021-12-03 09:15:06.95",5125644,0.053,0.023,0.015,21.49
"2021-12-03 09:15:07",5125645,0.054,0.024,0.015,21.49
"2021-12-03 09:15:07.05",5125646,0.053,0.019,0.013,21.49
"2021-12-03 09:15:07.1",5125647,0.055,0.02,0.012,21.46
"2021-12-03 09:15:07.15",5125648,0.055,0.022,0.012,21.47
"2021-12-03 09:15:07.2",5125649,0.055,0.021,0.013,21.49
"2021-12-03 09:15:07.25",5125650,0.056,0.021,0.013,21.49
"2021-12-03 09:15:07.3",5125651,0.056,0.021,0.013,21.47
"2021-12-03 09:15:07.35",5125652,0.055,0.02,0.013,21.49
"2021-12-03 09:15:07.4",5125653,0.054,0.022,0.012,21.48
"2021-12-03 09:15:07.45",5125654,0.054,0.024,0.011,21.5
"2021-12-03 09:15:07.5",5125655,0.054,0.023,0.012,21.47
"2021-12-03 09:15:07.55",5125656,0.052,0.022,0.012,21.49
"2021-12-03 09:15:07.6",5125657,0.052,0.027,0.012,21.49
"2021-12-03 09:15:07.65",5125658,0.052,0.024,0.012,21.51
"2021-12-03 09:15:07.7",5125659,0.052,0.023,0.012,21.49
"2021-12-03 09:15:07.75",5125660,0.052,0.024,0.013,21.49
"2021-12-03 09:15:07.8",5125661,0.054,0.027,0.013,21.48
"2021-12-03 09:15:07.85",5125662,0.053,0.025,0.014,21.51
"2021-12-03 09:15:07.9",5125663,0.053,0.026,0.012,21.51
"2021-12-03 09:15:07.95",5125664,0.053,0.03,0.013,21.47
"2021-12-03 09:15:08",5125665,0.055,0.031,0.014,21.47
"2021-12-03 09:15:08.05",5125666,0.054,0.033,0.014,21.47
"2021-12-03 09:15:08.1",5125667,0.056,0.031,0.013,21.48
"2021-12-03 09:15:08.15",5125668,0.056,0.034,0.014,21.49
"2021-12-03 09:15:08.2",5125669,0.057,0.032,0.015,21.53
"2021-12-03 09:15:08.25",5125670,0.056,0.03,0.017,21.53
"2021-12-03 09:15:08.3",5125671,0.059,0.031,0.02,21.54
"2021-12-03 09:15:08.35",5125672,0.056,0.028,0.019,21.54
"2021-12-03 09:15:08.4",5125673,0.058,0.028,0.019,21.53
"2021-12-03 09:15:08.45",5125674,0.058,0.03,0.021,21.51
"2021-12-03 09:15:08.5",5125675,0.057,0.028,0.02,21.54
"2021-12-03 09:15:08.55",5125676,0.056,0.03,0.021,21.56
"2021-12-03 09:15:08.6",5125677,0.057,0.029,0.022,21.55
"2021-12-03 09:15:08.65",5125678,0.058,0.03,0.022,21.54
"2021-12-03 09:15:08.7",5125679,0.058,0.032,0.021,21.57
"2021-12-03 09:15:08.75",5125680,0.056,0.032,0.023,21.54
"2021-12-03 09:15:08.8",5125681,0.058,0.03,0.024,21.54
"2021-12-03 09:15:08.85",5125682,0.059,0.029,0.024,21.54
"2021-12-03 09:15:08.9",5125683,0.059,0.031,0.024,21.53
"2021-12-03 09:15:08.95",5125684,0.057,0.033,0.025,21.54
"2021-12-03 09:15:09",5125685,0.056,0.03,0.025,21.54
"2021-12-03 09:15:09.05",5125686,0.056,0.031,0.027,21.54
"2021-12-03 09:15:09.1",5125687,0.054,0.031,0.026,21.56
"2021-12-03 09:15:09.15",5125688,0.056,0.029,0.026,21.56
"2021-12-03 09:15:09.2",5125689,0.055,0.032,0.027,21.56
"2021-12-03 09:15:09.25",5125690,0.057,0.033,0.026,21.56
"2021-12-03 09:15:09.3",5125691,0.057,0.034,0.027,21.58
"2021-12-03 09:15:09.35",5125692,0.057,0.033,0.027,21.56
"2021-12-03 09:15:09.4",5125693,0.056,0.034,0.026,21.57
"2021-12-03 09:15:09.45",5125694,0.055,0.035,0.027,21.57
"2021-12-03 09:15:09.5",5125695,0.055,0.035,0.027,21.57
"2021-12-03 09:15:09.55",5125696,0.055,0.035,0.027,21.59
"2021-12-03 09:15:09.6",5125697,0.055,0.036,0.027,21.62
"2021-12-03 09:15:09.65",5125698,0.055,0.037,0.027,21.56
"2021-12-03 09:15:09.7",5125699,0.054,0.034,0.026,21.56
"2021-12-03 09:15:09.75",5125700,0.052,0.035,0.028,21.61
"2021-12-03 09:15:09.8",5125701,0.054,0.033,0.027,21.63
"2021-12-03 09:15:09.85",5125702,0.054,0.032,0.029,21.61
"2021-12-03 09:15:09.9",5125703,0.052,0.033,0.03,21.62
"2021-12-03 09:15:09.95",5125704,0.053,0.031,0.032,21.61
"2021-12-03 09:15:10",5125705,0.052,0.03,0.032,21.67
"2021-12-03 09:15:10.05",5125706,0.053,0.032,0.032,21.66
"2021-12-03 09:15:10.1",5125707,0.052,0.028,0.033,21.66
"2021-12-03 09:15:10.15",5125708,0.051,0.029,0.032,21.61
"2021-12-03 09:15:10.2",5125709,0.052,0.031,0.035,21.66
"2021-12-03 09:15:10.25",5125710,0.051,0.029,0.032,21.61
"2021-12-03 09:15:10.3",5125711,0.051,0.027,0.035,21.65
"2021-12-03 09:15:10.35",5125712,0.051,0.028,0.034,21.66
"2021-12-03 09:15:10.4",5125713,0.05,0.023,0.036,21.63
"2021-12-03 09:15:10.45",5125714,0.054,0.025,0.035,21.67
"2021-12-03 09:15:10.5",5125715,0.05,0.024,0.036,21.66
"2021-12-03 09:15:10.55",5125716,0.05,0.022,0.035,21.66
"2021-12-03 09:15:10.6",5125717,0.052,0.022,0.036,21.62
"2021-12-03 09:15:10.65",5125718,0.051,0.025,0.037,21.67
"2021-12-03 09:15:10.7",5125719,0.048,0.023,0.037,21.66
"2021-12-03 09:15:10.75",5125720,0.049,0.026,0.039,21.61
"2021-12-03 09:15:10.8",5125721,0.049,0.026,0.039,21.65
"2021-12-03 09:15:10.85",5125722,0.048,0.025,0.041,21.66
"2021-12-03 09:15:10.9",5125723,0.048,0.024,0.042,21.68
"2021-12-03 09:15:10.95",5125724,0.047,0.024,0.042,21.68
"2021-12-03 09:15:11",5125725,0.048,0.023,0.041,21.62
"2021-12-03 09:15:11.05",5125726,0.047,0.021,0.042,21.65
"2021-12-03 09:15:11.1",5125727,0.048,0.021,0.043,21.63
"2021-12-03 09:15:11.15",5125728,0.049,0.025,0.043,21.61
"2021-12-03 09:15:11.2",5125729,0.05,0.023,0.046,21.63
"2021-12-03 09:15:11.25",5125730,0.048,0.022,0.047,21.67
"2021-12-03 09:15:11.3",5125731,0.049,0.022,0.047,21.62
"2021-12-03 09:15:11.35",5125732,0.054,0.021,0.047,21.61
"2021-12-03 09:15:11.4",5125733,0.048,0.019,0.047,21.63
"2021-12-03 09:15:11.45",5125734,0.048,0.02,0.047,21.61
"2021-12-03 09:15:11.5",5125735,0.047,0.022,0.048,21.63
"2021-12-03 09:15:11.55",5125736,0.047,0.022,0.049,21.66
"2021-12-03 09:15:11.6",5125737,0.05,0.023,0.047,21.63
"2021-12-03 09:15:11.65",5125738,0.048,0.024,0.05,21.66
"2021-12-03 09:15:11.7",5125739,0.046,0.021,0.049,21.63
"2021-12-03 09:15:11.75",5125740,0.048,0.022,0.049,21.65
"2021-12-03 09:15:11.8",5125741,0.048,0.024,0.05,21.68
"2021-12-03 09:15:11.85",5125742,0.047,0.021,0.049,21.63
"2021-12-03 09:15:11.9",5125743,0.048,0.023,0.051,21.61
"2021-12-03 09:15:11.95",5125744,0.049,0.023,0.051,21.63
"2021-12-03 09:15:12",5125745,0.05,0.02,0.052,21.62
"2021-12-03 09:15:12.05",5125746,0.049,0.021,0.051,21.59
"2021-12-03 09:15:12.1",5125747,0.05,0.021,0.05,21.62
"2021-12-03 09:15:12.15",5125748,0.053,0.019,0.052,21.63
"2021-12-03 09:15:12.2",5125749,0.05,0.019,0.052,21.61
"2021-12-03 09:15:12.25",5125750,0.052,0.018,0.051,21.63
"2021-12-03 09:15:12.3",5125751,0.051,0.02,0.052,21.61
"2021-12-03 09:15:12.35",5125752,0.05,0.016,0.051,21.61
"2021-12-03 09:15:12.4",5125753,0.052,0.02,0.051,21.61
"2021-12-03 09:15:12.45",5125754,0.054,0.019,0.05,21.65
"2021-12-03 09:15:12.5",5125755,0.054,0.017,0.051,21.58
"2021-12-03 09:15:12.55",5125756,0.056,0.016,0.051,21.59
"2021-12-03 09:15:12.6",5125757,0.057,0.016,0.049,21.61
"2021-12-03 09:15:12.65",5125758,0.055,0.017,0.05,21.61
"2021-12-03 09:15:12.7",5125759,0.058,0.017,0.049,21.62
"2021-12-03 09:15:12.75",5125760,0.057,0.014,0.048,21.58
"2021-12-03 09:15:12.8",5125761,0.055,0.014,0.048,21.58
"2021-12-03 09:15:12.85",5125762,0.058,0.015,0.048,21.62
"2021-12-03 09:15:12.9",5125763,0.057,0.013,0.048,21.63
"2021-12-03 09:15:12.95",5125764,0.058,0.013,0.048,21.59
"2021-12-03 09:15:13",5125765,0.058,0.012,0.047,21.61
"2021-12-03 09:15:13.05",5125766,0.059,0.011,0.046,21.63
"2021-12-03 09:15:13.1",5125767,0.06,0.011,0.047,21.63
"2021-12-03 09:15:13.15",5125768,0.059,0.011,0.047,21.63
"2021-12-03 09:15:13.2",5125769,0.059,0.011,0.046,21.62
"2021-12-03 09:15:13.25",5125770,0.061,0.01,0.046,21.62
"2021-12-03 09:15:13.3",5125771,0.062,0.009,0.046,21.63
"2021-12-03 09:15:13.35",5125772,0.063,0.008,0.046,21.62
"2021-12-03 09:15:13.4",5125773,0.061,0.012,0.047,21.63
"2021-12-03 09:15:13.45",5125774,0.06,0.009,0.047,21.63
"2021-12-03 09:15:13.5",5125775,0.064,0.008,0.046,21.63
"2021-12-03 09:15:13.55",5125776,0.062,0.008,0.046,21.69
"2021-12-03 09:15:13.6",5125777,0.062,0.006,0.045,21.63
"2021-12-03 09:15:13.65",5125778,0.061,0.006,0.046,21.63
"2021-12-03 09:15:13.7",5125779,0.061,0.008,0.046,21.63
"2021-12-03 09:15:13.75",5125780,0.06,0.008,0.046,21.63
"2021-12-03 09:15:13.8",5125781,0.061,0.009,0.046,21.63
"2021-12-03 09:15:13.85",5125782,0.06,0.008,0.047,21.63
"2021-12-03 09:15:13.9",5125783,0.059,0.005,0.045,21.63
"2021-12-03 09:15:13.95",5125784,0.062,0.007,0.046,21.68
"2021-12-03 09:15:14",5125785,0.059,0.007,0.045,21.68
"2021-12-03 09:15:14.05",5125786,0.059,0.006,0.046,21.59
"2021-12-03 09:15:14.1",5125787,0.059,0.007,0.047,21.65
"2021-12-03 09:15:14.15",5125788,0.057,0.01,0.048,21.65
"2021-12-03 09:15:14.2",5125789,0.056,0.007,0.047,21.68
"2021-12-03 09:15:14.25",5125790,0.057,0.008,0.047,21.68
"2021-12-03 09:15:14.3",5125791,0.057,0.006,0.047,21.68
"2021-12-03 09:15:14.35",5125792,0.056,0.011,0.047,21.65
"2021-12-03 09:15:14.4",5125793,0.054,0.01,0.047,21.65
