Fine validità (UTC)	Pressione atmosferica istantanea al livello della stazione a 2 m dal suolo (PA)	Irradianza globale visibile media oraria - componente dall'alto (W/M**2 Precipitazione cumulata su 1 ora (KG/M**2)	Umidita' relativa dell'aria istantanea a 2 m dal suolo (%)	Temperatura dell'aria istantanea a 2 m dal suolo (°C)
17/02/2016 14:00:00	100970	136	0	79	8.4
17/02/2016 15:00:00	100960	120	0	77	8.4
17/02/2016 16:00:00	100960	37	0	79	8.4
17/02/2016 17:00:00	100990	7	0	79	8.4
17/02/2016 18:00:00	101040	1	0	82	8.4
17/02/2016 19:00:00	101040	1	0	80	8.4
17/02/2016 20:00:00	101050	-2	0	85	8.1
17/02/2016 21:00:00	101060	0	0	86	7.7
17/02/2016 22:00:00	101050	-2	0	86	7.8
17/02/2016 23:00:00	101010	0	0	90	7.6
18/02/2016 00:00:00	100990	-1	0	90	7.4
18/02/2016 01:00:00	100960	-1	0	90	7.2
18/02/2016 02:00:00	100910	-3	0	90	7.2
18/02/2016 03:00:00	100850	-8	0	88	7.2
18/02/2016 04:00:00	100810	-9	0	85	7.3
18/02/2016 05:00:00	100730	-8	0	90	6.6
18/02/2016 06:00:00	100760	-2	0	89	5.8
18/02/2016 07:00:00	100780	17	0	90	5.3
18/02/2016 08:00:00	100750	162	0	76	7
18/02/2016 09:00:00	100780	319	0	78	7.8
18/02/2016 10:00:00	100760	455	0	72	9.1
18/02/2016 11:00:00	100640	519	0	73	9.4
18/02/2016 12:00:00	100550	497	0	71	10
18/02/2016 13:00:00	100470	485	0	65	10.6
18/02/2016 14:00:00	100430	399	0	62	10.8
18/02/2016 15:00:00	100380	267	0	62	11.3
18/02/2016 16:00:00	100330	117	0	62	11.3
18/02/2016 17:00:00	100360	10	0	66	10.5
18/02/2016 18:00:00	100380	-2	0	69	9.7
18/02/2016 19:00:00	100390	-2	0	68	9.5
18/02/2016 20:00:00	100410	-1	0	70	9
18/02/2016 21:00:00	100450	1	0	68	8.7
18/02/2016 22:00:00	100460	0	0	74	8
18/02/2016 23:00:00	100480	0	0	70	8.4
19/02/2016 00:00:00	100440	-1	0	71	8.1
19/02/2016 01:00:00	100500	-1	0	77	7.5
19/02/2016 02:00:00	100480	-8	0	70	7.8
19/02/2016 03:00:00	100480	-12	0	77	6.8
19/02/2016 04:00:00	100510	-8	0	79	6
19/02/2016 05:00:00	100530	-12	0	79	5.9
19/02/2016 06:00:00	100590	-4	0	80	5.5
19/02/2016 07:00:00	100660	31	0	80	6
19/02/2016 08:00:00	100710	182	0	74	7.8
19/02/2016 09:00:00	100750	334	0	54	11.1
19/02/2016 10:00:00	100760	462	0	49	11.9
19/02/2016 11:00:00	100760	510	0	48	12.6
19/02/2016 12:00:00	100760	448	0	48	12.9
19/02/2016 13:00:00	100740	335	0	41	13.4
19/02/2016 14:00:00	100700	346	0	35	13.7
19/02/2016 15:00:00	100720	258	0	35	13.6
19/02/2016 16:00:00	100750	139	0	35	12.6
19/02/2016 17:00:00	100790	20	0	33	11.8
19/02/2016 18:00:00	100820	-2	0	38	10.8
19/02/2016 19:00:00	100840	-3	0	41	10.2
19/02/2016 20:00:00	100850	-6	0	42	9.8
19/02/2016 21:00:00	100900	0	0	42	9.4
19/02/2016 22:00:00	100970	0	0	44	9
19/02/2016 23:00:00	101060	-2	0	86	6.9
20/02/2016 00:00:00	101140	-2	0	86	6.6
20/02/2016 01:00:00	101210	0	0.8	87	6.4
20/02/2016 02:00:00	101210	-6	0.6	89	6.5
20/02/2016 03:00:00	101280	-8	0	90	6.5
20/02/2016 04:00:00	101330	-13	0	92	6.1
20/02/2016 05:00:00	101380	-6	0	94	5.6
20/02/2016 06:00:00	101450	-3	0	92	5.2
20/02/2016 07:00:00	101580	46	0	87	5.7
20/02/2016 08:00:00	101690	206	0	79	7.1
20/02/2016 09:00:00	101710	334	0	71	8.5
20/02/2016 10:00:00	101780	478	0	64	9.8
20/02/2016 11:00:00	101800	527	0	54	10.9
20/02/2016 12:00:00	101760	552	0	45	11.4
20/02/2016 13:00:00	101670	511	0	35	12.6
20/02/2016 14:00:00	101580	362	0	33	13
20/02/2016 15:00:00	101540	252	0	32	13.3
20/02/2016 16:00:00	101480	138	0	40	12.2
20/02/2016 17:00:00	101490	16	0	45	11.5
20/02/2016 18:00:00	101520	-3	0	56	10
20/02/2016 19:00:00	101520	-4	0	60	8.5
20/02/2016 20:00:00	101530	-2	0	59	8
20/02/2016 21:00:00	101520	-1	0	55	8.1
20/02/2016 22:00:00	101470	-1	0	54	8.3
20/02/2016 23:00:00	101420	-2	0	53	8.2
21/02/2016 00:00:00	101380	0	0	51	8.4
21/02/2016 01:00:00	101340	0	0	53	7.8
21/02/2016 02:00:00	101300	-6	0	50	8.5
21/02/2016 03:00:00	101300	-9	0	61	6.9
21/02/2016 04:00:00	101290	-10	0	62	7
21/02/2016 05:00:00	101290	-8	0	57	7.4
21/02/2016 06:00:00	101330	-1	0	58	7.6
21/02/2016 07:00:00	101380	20	0	60	7.3
21/02/2016 08:00:00	101400	88	0	58	8.4
21/02/2016 09:00:00	101410	212	0	48	10
21/02/2016 10:00:00	101400	313	0	41	11.8
21/02/2016 11:00:00	101410	423	0	42	12.3
21/02/2016 12:00:00	101370	550	0	41	13.2
21/02/2016 13:00:00	101310	507	0	42	13.5
21/02/2016 14:00:00	101200	413	0	38	15.1
21/02/2016 15:00:00	101150	284	0	44	14.3
21/02/2016 16:00:00	101130	139	0	47	14.3
21/02/2016 17:00:00	101140	20	0	52	13.7
21/02/2016 18:00:00	101170	-1	0	57	13.2
21/02/2016 19:00:00	101200	0	0	59	12.6
21/02/2016 20:00:00	101220	-1	0	64	11
21/02/2016 21:00:00	101280	-4	0	67	10.2
21/02/2016 22:00:00	101280	-3	0	68	10.2
21/02/2016 23:00:00	101260	0	0	64	11.9
22/02/2016 00:00:00	101230	-2	0	66	11.6
22/02/2016 01:00:00	101200	-2	0	84	7.4
22/02/2016 02:00:00	101170	-8	0	85	7.1
22/02/2016 03:00:00	101130	-12	0	83	7.7
22/02/2016 04:00:00	101110	-7	0	87	7
22/02/2016 05:00:00	101110	-8	0	88	6.9
22/02/2016 06:00:00	101090	0	0	87	7
22/02/2016 07:00:00	101120	19	0	87	7.2
22/02/2016 08:00:00	101130	66	0	86	7.6
22/02/2016 09:00:00	101130	152	0	83	7.9
22/02/2016 10:00:00	101120	216	0	78	9
22/02/2016 11:00:00	101080	440	0	67	11.5
22/02/2016 12:00:00	101040	406	0	62	12.8
22/02/2016 13:00:00	100930	286	0	66	12.9
22/02/2016 14:00:00	100850	187	0	65	13.3
22/02/2016 15:00:00	100810	189	0	69	13.2
22/02/2016 16:00:00	100720	122	0	69	12.8
22/02/2016 17:00:00	100720	11	0	79	12.3
22/02/2016 18:00:00	100760	-2	0	80	12.2
22/02/2016 19:00:00	100690	0	0	86	11.3
22/02/2016 20:00:00	100720	0	0	88	10.3
22/02/2016 21:00:00	100730	0	0	90	9.9
22/02/2016 22:00:00	100670	-1	0	92	9.8
22/02/2016 23:00:00	100640	1	0	95	9.4
23/02/2016 00:00:00	100600	0	0	95	9.1
23/02/2016 01:00:00	100600	-1	1.8	98	9
23/02/2016 02:00:00	100530	-2	2.6	99	9
23/02/2016 03:00:00	100300	-3	1.6	98	10
23/02/2016 04:00:00	100340	-3	0	86	11.5
23/02/2016 05:00:00	100310	-7	0	98	8.6
23/02/2016 06:00:00	100280	-2	0	99	8.2
23/02/2016 07:00:00	100300	33	0	101	7.7
23/02/2016 08:00:00	100370	99	0	101	7.7
23/02/2016 09:00:00	100370	76	0	102	7.8
23/02/2016 10:00:00	100370	111	0	102	8.7
23/02/2016 11:00:00	100340	353	0	94	11
23/02/2016 12:00:00	100250	405	0	88	12.2
23/02/2016 13:00:00	100110	494	0	69	14.6
23/02/2016 14:00:00	100070	418	0	68	14.5
23/02/2016 15:00:00	100060	212	0	68	14.4
23/02/2016 16:00:00	100060	67	0	72	14
23/02/2016 17:00:00	100030	23	0	74	13.7
23/02/2016 18:00:00	100060	-5	0	82	12.4
23/02/2016 19:00:00	100040	0	0	76	12.4
23/02/2016 20:00:00	99990	0	0	69	12
23/02/2016 21:00:00	99950	-1	0	65	12.3
23/02/2016 22:00:00	100020	-1	0	65	12
23/02/2016 23:00:00	100010	-4	0	79	10.6
24/02/2016 00:00:00	100020	2	0	71	11
24/02/2016 01:00:00	100060	-6	0	80	9.7
24/02/2016 02:00:00	100080	-8	0	82	9.1
24/02/2016 03:00:00	100120	-14	0	89	8
24/02/2016 04:00:00	100210	-9	0	88	7.7
24/02/2016 05:00:00	100270	-6	0	84	7.9
24/02/2016 06:00:00	100340	-3	0	79	8.6
24/02/2016 07:00:00	100500	12	0	87	7.2
24/02/2016 08:00:00	100600	19	0	90	7.2
24/02/2016 09:00:00	100660	21	0	96	8.4
24/02/2016 10:00:00	100680	91	0	81	9.7
24/02/2016 11:00:00	100710	159	0	78	10.1
24/02/2016 12:00:00	100660	254	0	80	10.8
24/02/2016 13:00:00	100610	317	0	79	10.4
24/02/2016 14:00:00	100590	179	0	76	10.3
24/02/2016 15:00:00	100560	123	0	77	10.3
24/02/2016 16:00:00	100530	42	0	74	10.4
24/02/2016 17:00:00	100530	10	0	78	9.9
24/02/2016 18:00:00	100560	0	0	79	9.7
24/02/2016 19:00:00	100550	0	0	78	9.3
24/02/2016 20:00:00	100540	0	0	78	9.1
24/02/2016 21:00:00	100520	2	0	80	9.1
24/02/2016 22:00:00	100480	-2	0	86	8.7
24/02/2016 23:00:00	100440	-1	0	90	8.3
25/02/2016 00:00:00	100400	-2	0	91	8.1
25/02/2016 01:00:00	100380	-2	0	89	8
25/02/2016 02:00:00	100330	-6	0	92	7.8
25/02/2016 03:00:00	100300	-7	0	92	7.8
25/02/2016 04:00:00	100340	-10	0	89	7.7
25/02/2016 05:00:00	100320	-9	0.8	95	6.6
25/02/2016 06:00:00	100320	-2	0	95	6.8
25/02/2016 07:00:00	100330	8	0.2	97	6.6
25/02/2016 08:00:00	100340	21	0	98	6.6
25/02/2016 09:00:00	100310	63	0.2	98	6.4
25/02/2016 10:00:00	100300	76	0	96	6.4
25/02/2016 11:00:00	100260	67	0	95	6.4
25/02/2016 12:00:00	100200	71	0	90	7.2
25/02/2016 13:00:00	100100	92	0	92	7
25/02/2016 14:00:00	100060	60	0	91	7.4
25/02/2016 15:00:00	100050	36	0	89	7.8
25/02/2016 16:00:00	100020	16	0	89	7.8
25/02/2016 17:00:00	100000	9	0	89	8
25/02/2016 18:00:00	100020	0	0	90	7.9
25/02/2016 19:00:00	100020	0	0	89	8.1
25/02/2016 20:00:00	100030	0	0	92	7.7
25/02/2016 21:00:00	100030	0	0	91	7.8
25/02/2016 22:00:00	100030	2	0	88	8.3
25/02/2016 23:00:00	100010	0	0	88	8.1
26/02/2016 00:00:00	100010	-1	0	90	7.9
26/02/2016 01:00:00	100010	0	0	88	8.1
26/02/2016 02:00:00	99970	-7	0	89	8
26/02/2016 03:00:00	99990	-9	0	91	7.6
26/02/2016 04:00:00	100000	-9	0	90	7.9
26/02/2016 05:00:00	100000	-7	0	91	7.8
26/02/2016 06:00:00	100020	-3	0	93	7.5
26/02/2016 07:00:00	100100	9	0	93	7.3
26/02/2016 08:00:00	100170	25	0	89	7.6
26/02/2016 09:00:00	100210	32	0	90	7.7
26/02/2016 10:00:00	100240	62	0	89	7.9
26/02/2016 11:00:00	100250	76	0	83	8.1
26/02/2016 12:00:00	100220	122	0	79	8.2
26/02/2016 13:00:00	100180	55	0	84	8
26/02/2016 14:00:00	100160	57	0	90	7.6
26/02/2016 15:00:00	100150	32	0	88	8.1
26/02/2016 16:00:00	100090	24	0	84	8.5
26/02/2016 17:00:00	100080	8	0	79	8.3
26/02/2016 18:00:00	100090	-1	0	81	7.8
26/02/2016 19:00:00	100090	0	0	78	7.9
26/02/2016 20:00:00	100060	-2	0	80	7.7
26/02/2016 21:00:00	100040	-1	0	86	7
26/02/2016 22:00:00	100020	-2	0	90	6.4
26/02/2016 23:00:00	100000	0	0	91	6.2
27/02/2016 00:00:00	99980	-1	0	92	6.1
27/02/2016 01:00:00	99970	0	0	91	6.2
27/02/2016 02:00:00	99920	-8	0	92	6.1
27/02/2016 03:00:00	99890	-9	0	92	5.7
27/02/2016 04:00:00	99890	-6	0	90	6
27/02/2016 05:00:00	99880	-12	0	93	5.6
27/02/2016 06:00:00	99880	-2	0	93	5.7
27/02/2016 07:00:00	99930	7	0.6	96	5.6
27/02/2016 08:00:00	99970	19	1.6	97	5.6
27/02/2016 09:00:00	100020	31	0.6	98	5.7
27/02/2016 10:00:00	100000	72	1	98	6
27/02/2016 11:00:00	100000	75	0.2	98	6.6
27/02/2016 12:00:00	99960	40	0	98	6.2
27/02/2016 13:00:00	99940	34	0	97	6.4
27/02/2016 14:00:00	99900	42	0	97	6.9
27/02/2016 15:00:00	99880	20	0.2	97	6.9
27/02/2016 16:00:00	99850	10	0.8	99	7.1
27/02/2016 17:00:00	99840	2	2.2	100	6.9
27/02/2016 18:00:00	99850	1	2	100	7.3
27/02/2016 19:00:00	99830	0	0.4	100	7.6
27/02/2016 20:00:00	99810	0	0.6	100	8.1
27/02/2016 21:00:00	99800	-1	0.6	101	8.1
27/02/2016 22:00:00	99760	0	0.2	101	8.7
27/02/2016 23:00:00	99730	0	0	101	9.4
28/02/2016 00:00:00	99710	1	0	99	9.5
28/02/2016 01:00:00	99720	-3	0.2	99	9.4
28/02/2016 02:00:00	99680	-1	0.2	99	9
28/02/2016 03:00:00	99680	-4	0	99	9
28/02/2016 04:00:00	99700	-8	0	100	8.9
28/02/2016 05:00:00	99750	-9	0.2	99	9
28/02/2016 06:00:00	99720	-1	0	80	10.8
28/02/2016 07:00:00	99750	7	0	87	10.1
28/02/2016 08:00:00	99770	31	0	93	9.4
28/02/2016 09:00:00	99800	34	0	88	10
28/02/2016 10:00:00	99830	40	0	89	10.1
28/02/2016 11:00:00	99810	55	0	93	10
28/02/2016 12:00:00	99790	113	0	94	10.1
28/02/2016 13:00:00	99710	121	0	91	10.9
28/02/2016 14:00:00	99630	85	0	89	11.4
28/02/2016 15:00:00	99580	40	0	92	10.9
28/02/2016 16:00:00	99510	31	0	92	11.1
28/02/2016 17:00:00	99480	7	0	92	11.7
28/02/2016 18:00:00	99400	0	1.8	98	11
28/02/2016 19:00:00	99300	0	4.2	98	10.6
28/02/2016 20:00:00	99160	0	4.4	100	10.9
28/02/2016 21:00:00	99100	0	1.6	97	11.1
28/02/2016 22:00:00	99060	0	2	98	10.4
28/02/2016 23:00:00	98960	0	2.2	99	9.8
29/02/2016 00:00:00	98950	0	7.4	100	9.5
