Fine validità (UTC)	Pressione atmosferica istantanea al livello della stazione a 2 m dal suolo (PA)	Irradianza globale visibile media oraria - componente dall'alto (W/M**2)	Precipitazione cumulata su 1 ora (KG/M**2)	Umidita' relativa dell'aria istantanea a 2 m dal suolo (%)	Temperatura dell'aria istantanea a 2 m dal suolo (°C)
01/12/2017 00:00:00	99870	-1	0	72	3.1
01/12/2017 01:00:00	99880	-1	0	83	2.4
01/12/2017 02:00:00	99930	-7	0	81	3.2
01/12/2017 03:00:00	99910	-9	0	83	2.9
01/12/2017 04:00:00	99940	-9	0	84	2.2
01/12/2017 05:00:00	99980	-9	0	84	2.2
01/12/2017 06:00:00	100020	0	0	81	3
01/12/2017 07:00:00	100090	4	0	84	2.8
01/12/2017 08:00:00	100110	25	0	81	3.3
01/12/2017 09:00:00	100150	74	0	79	3.7
01/12/2017 10:00:00	100170	96	0	73	4.8
01/12/2017 11:00:00	100140	93	0	76	4.9
01/12/2017 12:00:00	100130	57	0	78	4.3
01/12/2017 13:00:00	100120	35	0.2	85	4.2
01/12/2017 14:00:00	100170	18	1.6	94	3.4
01/12/2017 15:00:00	100240	8	1	94	3.1
01/12/2017 16:00:00	100270	0	0.4	95	2.4
01/12/2017 17:00:00	100320	1	0.2	95	2.7
01/12/2017 18:00:00	100360	0	0	94	2.8
01/12/2017 19:00:00	100390	0	0.2	94	3.1
01/12/2017 20:00:00	100410	0	0	93	3.2
01/12/2017 21:00:00	100370	0	0	91	3.3
01/12/2017 22:00:00	100420	-1	0	91	3.4
01/12/2017 23:00:00	100400	0	0	91	3.4
02/12/2017 00:00:00	100390	1	0	90	3.9
02/12/2017 01:00:00	100390	-3	1.2	95	3.3
02/12/2017 02:00:00	100420	-2	0.6	97	3.5
02/12/2017 03:00:00	100420	1	1.4	98	3.3
02/12/2017 04:00:00	100370	-1	1	98	3.6
02/12/2017 05:00:00	100420	1	0	97	3.7
02/12/2017 06:00:00	100440	0	0	96	3.8
02/12/2017 07:00:00	100480	2	0	94	4.3
02/12/2017 08:00:00	100530	18	0	85	4.8
02/12/2017 09:00:00	100600	40	0	81	4.9
02/12/2017 10:00:00	100650	100	0	79	5.8
02/12/2017 11:00:00	100630	128	0	75	6.5
02/12/2017 12:00:00	100610	117	0	72	7.1
02/12/2017 13:00:00	100580	88	0	65	7.4
02/12/2017 14:00:00	100590	118	0	64	7.3
02/12/2017 15:00:00	100630	52	0	65	7.1
02/12/2017 16:00:00	100680	3	0	69	6.8
02/12/2017 17:00:00	100700	-1	0	68	6.2
02/12/2017 18:00:00	100760	-2	0	72	5
02/12/2017 19:00:00	100810	0	0	73	5
02/12/2017 20:00:00	100840	-2	0	74	4.8
02/12/2017 21:00:00	100840	0	0	71	5
02/12/2017 22:00:00	100850	-2	0	72	4.6
02/12/2017 23:00:00	100860	-1	0	76	4.1
03/12/2017 00:00:00	100860	0	0	77	3.1
03/12/2017 01:00:00	100850	0	0	74	2.6
03/12/2017 02:00:00	100890	-6	0	74	2.3
03/12/2017 03:00:00	100890	1	0	70	3.3
03/12/2017 04:00:00	100900	0	0	70	3.3
03/12/2017 05:00:00	100930	0	0	63	3.6
03/12/2017 06:00:00	100950	-1	0	61	3.2
03/12/2017 07:00:00	101010	7	0	71	2.5
