"lon" "lat" "0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23"
"26" 9.95 44.3 0 0 0.6672885 1.093517 0.8782005 0.295183 0.697345 0.73439 0.2112985 0 0 7.46331 16.24395 9.08031 5.65268 6.463185 2.29078 3.004985 2.0845385 5.140905 0.3137495 0.358307 0.244289 0.07372915
"27" 9.95 44.4 0 0 0.237863 0.5107 0.9299725 0.9350235 0.72514 0.7636605 0.21972 0 0 5.17218 14.98177 9.472585 12.27825 6.68676 2.31297 3.655475 2.11519 4.558795 0.3243565 0.36433 0.252819 0.0762218
"28" 9.95 44.5 0.0864076 0.513823 0.298183 0.2198285 0.888828 1.50878 1.453075 0.5001645 0.904864 0.2626215 0 8.10575 9.94407 5.24992 3.553725 3.646565 1.587455 2.10506 1.517565 2.627845 0.621024 0.5710055 0.4163545 0.145937
"29" 9.95 44.6 0.0864076 0.513823 0.298183 0.2198285 0.888828 1.50878 1.453075 0.5001645 0.904864 0.2626215 0 8.10575 9.94407 5.24992 3.553725 3.646565 1.587455 2.10506 1.517565 2.627845 0.621024 0.5710055 0.4163545 0.145937
"30" 9.95 44.7 0 0 0 0.42573 1.621395 2.921965 2.605288 1.85492 3.113255 0.88825 0 7.075125 9.188935 10.20156 6.9426 4.96406 2.98743 1.570345 1.79242 2.16474 1.381915 1.16508 0.847819 0.3247415
"31" 9.95 44.8 0 0 0 0.42573 1.621395 2.921965 2.605288 1.85492 3.113255 0.88825 0 7.075125 9.188935 10.20156 6.9426 4.96406 2.98743 1.570345 1.79242 2.16474 1.381915 1.16508 0.847819 0.3247415
"32" 9.95 44.9 0 0.3284755 0.199313 0.396727 1.49946 2.72291 3.0356 2.773125 3.60988 0.989335 0 6.557015 11.45365 11.39195 11.24765 4.62246 2.957365 1.377545 1.738365 2.1274 1.366115 1.14634 0.830287 0.321029
"33" 9.95 45 0 0 0 0.256365 0.9697205 1.75954 3.585375 2.67582 3.223335 2.672785 0.583275 8.36385 14.31965 12.33095 12.16975 4.83973 2.803735 0.872414 1.57795 2.020945 2.44791 1.98501 1.38996 0.580329
"34" 10.05 44 0 0 1.0505 1.88519 1.77104 1.496105 0.057397 0.1106895 0.03390125 0 0 4.985765 11.135035 10.54406 5.98632 4.041845 3.256125 5.4153 2.27272 1.71906 0.3316555 0.244012 0.136644 0.0553996
"35" 10.05 44.1 0 0 0.148177 0.4362755 1.213418 1.39328 3.624485 3.817015 1.09823 0 0 7.014295 10.953325 4.627085 6.9202 6.20823 6.015695 3.1608 1.62462 2.416305 1.13744 0.903887 0.581273 0.2672905
"36" 10.05 44.2 0 1.576755 1.0953995 0.3626295 0.9596425 0.990737 3.774045 3.97452 1.143545 0 0 7.2989 16.4961 4.36624 8.264135 4.88285 3.084175 3.29497 2.049074 5.06103 1.19646 0.9499035 0.610537 0.2811595
"37" 10.05 44.3 0 1.576755 1.0953995 0.3626295 0.9596425 0.990737 3.774045 3.97452 1.143545 0 0 7.2989 16.4961 4.36624 8.264135 4.88285 3.084175 3.29497 2.049074 5.06103 1.19646 0.9499035 0.610537 0.2811595
"38" 10.05 44.4 0 1.54985 1.15438 0.476577 0.962438 0.959109 0 0 0 0 1.98997 5.87161 11.835955 4.502995 9.40372 7.847655 2.898685 3.93284 2.118595 4.823565 3.09617 2.42144 1.56067 0.72758
"39" 10.05 44.5 0.0902563 1.4320115 0.8547165 0.2049445 0.8695565 1.406625 0.1451805 0.488366 0.9182885 0.266518 0 8.10698 10.107195 11.22016 3.198005 2.45655 3.08527 2.14075 2.20447 4.60887 1.98297 1.55121 1.007673 0.4659855
"40" 10.05 44.6 0.0902563 1.4320115 0.8547165 0.2049445 0.8695565 1.406625 0.1451805 0.488366 0.9182885 0.266518 0 8.10698 10.107195 11.22016 3.198005 2.45655 3.08527 2.14075 2.20447 4.60887 1.98297 1.55121 1.007673 0.4659855
"41" 10.05 44.7 0.0974432 0.02526655 0 0.2730645 1.032564 1.874155 1.0772335 1.121741 1.716655 0.4814385 0 8.333235 10.52728 11.8706 7.63363 5.190715 3.74843 2.12597 2.170385 3.06518 1.503165 1.18015 0.776087 0.3532335
"42" 10.05 44.8 0.0974432 0.02526655 0 0.2730645 1.032564 1.874155 1.0772335 1.121741 1.716655 0.4814385 0 8.333235 10.52728 11.8706 7.63363 5.190715 3.74843 2.12597 2.170385 3.06518 1.503165 1.18015 0.776087 0.3532335
"43" 10.05 44.9 0 0.1416147 0.0859293 0.259276 0.9781995 1.77952 3.202135 1.712155 1.80649 0.462695 0 6.478095 11.94965 11.9121 11.8956 7.180995 3.260755 1.55946 1.83479 2.248725 1.442565 1.131735 0.743197 0.338993
"44" 10.05 45 0 0 0 0.26441 0.9973055 1.81476 4.186775 3.489995 4.057145 2.818345 0.57091 6.512665 13.52175 11.88395 11.87635 7.337995 2.995195 1.49218 1.532975 1.95362 1.747675 1.367805 0.8991115 0.4182465
"45" 10.15 44 0.005508 0 2.759305 4.74234 3.59725 2.734245 0.054855 0.386456 0.652053 0.1844235 0 8.927155 12.929085 3.802045 5.978865 3.86416 3.147155 4.94649 2.858295 2.294675 0.343087 0.2978325 0.1717035 0.0806232
"46" 10.15 44.1 0 0 0.07496295 0.5764855 2.14763 3.146675 3.82651 4.07012 1.23914795 0.02313285 0 10.027535 11.91327 3.00747 5.189315 5.148635 5.80219 3.50878 2.02713 2.643255 2.91454 2.30815 1.45863 0.6848985
"47" 10.15 44.2 0 0.528685 0.462779 0.6888075 2.213485 3.193435 0.896275 0.943881 0.2715735 0 0 7.47369 13.3105 4.31252 6.87307 4.55936 5.473405 3.390255 2.516035 5.32319 2.952995 2.33517 1.47787 0.6939345
"48" 10.15 44.3 0 0.528685 0.462779 0.6888075 2.213485 3.193435 0.896275 0.943881 0.2715735 0 0 7.47369 13.3105 4.31252 6.87307 4.55936 5.473405 3.390255 2.516035 5.32319 2.952995 2.33517 1.47787 0.6939345
"49" 10.15 44.4 0.06319375 0.4214295 0.2457725 0.1162865 0.784111 0.798123 0.07677 0.08084805 0.02326155 0 0.879525 3.868805 7.487645 3.94138 7.14862 7.65973 4.654715 3.631225 3.42357 5.19804 3.103435 2.43949 1.553165 0.7292875
"50" 10.15 44.5 0.08410285 1.67463 1.0679105 0.472139 1.65359 2.538045 0.1406355 0.456442 0.8795015 0.25526 0.14525965 7.89271 9.96952 7.832055 10.784515 2.29157 2.096295 2.268405 1.9741125 4.375275 1.88362 1.461765 0.9426905 0.442639
"51" 10.15 44.6 0.08410285 1.67463 1.0679105 0.472139 1.65359 2.538045 0.1406355 0.456442 0.8795015 0.25526 0.14525965 7.89271 9.96952 7.832055 10.784515 2.29157 2.096295 2.268405 1.9741125 4.375275 1.88362 1.461765 0.9426905 0.442639
"52" 10.15 44.7 0.0934334 0.02422685 0 0.259699 0.994148 1.782425 0.8634907 0.8630935 1.568015 0.4522065 0 7.765665 9.68421 16.15795 7.948535 5.881665 3.986025 3.24355 2.939295 3.12423 1.583255 1.22867 0.7923655 0.372055
"53" 10.15 44.8 0.0934334 0.02422685 0 0.259699 0.994148 1.782425 0.8634907 0.8630935 1.568015 0.4522065 0 7.765665 9.68421 16.15795 7.948535 5.881665 3.986025 3.24355 2.939295 3.12423 1.583255 1.22867 0.7923655 0.372055
"54" 10.15 44.9 0 0 0 0.2594985 0.983331 1.78105 0.85277435 0.8558585 1.56667 0.4528255 0 6.276115 11.58175 16.7566 11.6468 9.408625 3.91296 2.86212 2.24724 2.510385 1.61328 1.251975 0.807392 0.3791105
"55" 10.15 45 0 0 0 0.247279 0.9338915 1.69718 1.26786755 2.105955 3.73622 1.160497 0.02590705 6.51953 13.00815 10.81175 11.99385 9.1943 3.95893 2.9233 3.267255 2.434925 1.76436 1.369615 0.885636 0.4223355
"56" 10.25 44 0.004905815 0 2.47147 4.280815 3.362925 2.676605 0.41423 0.461319 0.6063835 0.1621685 0 7.868455 9.841675 3.36089 3.79178 3.223845 2.355905 4.363225 2.527665 2.032735 7.809235 6.116605 3.908255 1.83512
"57" 10.25 44.1 0 0 0 0.68399 2.815205 4.694525 1.129225 1.222661 0.40823675 0.01917825 0 2.505145 25.24606 2.465455 1.52105 5.46942 2.59904 3.04638 3.422625 2.639915 2.393415 1.9497 1.1978205 0.562437
"58" 10.25 44.2 0 0.3274265 0.2362935 0.7071406 2.68615 4.446945 0.1224675 0.1289725 0.037108 0 0 9.98394 15.88145 3.83693 4.909855 4.86831 2.04527 5.968535 2.31706 2.36321 2.41913 1.95597 1.21069 0.56848
"59" 10.25 44.3 0 0.3274265 0.2362935 0.7071406 2.68615 4.446945 0.1224675 0.1289725 0.037108 0 0 9.98394 15.88145 3.83693 4.909855 4.86831 2.04527 5.968535 2.31706 2.36321 2.41913 1.95597 1.21069 0.56848
"60" 10.25 44.4 0.0627086 6.091205 3.686165 0.334312 1.5587 2.294525 0.0736415 0.07755315 0.02231355 0 0.78473 3.725045 5.6069 4.170335 6.235335 6.492045 4.63624 6.223955 3.33539 5.07088 3.01366 2.392075 1.50823 0.7081905
"61" 10.25 44.5 0.5153865 0.25213 0.0939152 0.3829537 1.674825 2.390495 0.40316835 0.0537438 0.0145979 0 0 7.263665 9.239905 7.6332 17.076765 2.66247 2.470195 3.638655 4.1243 4.729145 1.35771 1.0536375 0.679488 0.3190535
"62" 10.25 44.6 0.5153865 0.25213 0.0939152 0.3829537 1.674825 2.390495 0.40316835 0.0537438 0.0145979 0 0 7.263665 9.239905 7.6332 17.076765 2.66247 2.470195 3.638655 4.1243 4.729145 1.35771 1.0536375 0.679488 0.3190535
"63" 10.25 44.7 0.9740985 0.31759815 0.03945255 0.2688015 1.101519 1.8449 0.71168 0.690974 1.33378 0.387106 0 5.417805 7.679895 13.68145 13.498415 6.29363 3.570755 2.89225 8.597185 4.888505 1.35966 1.063326 0.680463 0.3195115
"64" 10.25 44.8 0.9740985 0.31759815 0.03945255 0.2688015 1.101519 1.8449 0.71168 0.690974 1.33378 0.387106 0 5.417805 7.679895 13.68145 13.498415 6.29363 3.570755 2.89225 8.597185 4.888505 1.35966 1.063326 0.680463 0.3195115
"65" 10.25 44.9 0 0 0 0.278372 1.091495 1.910585 0.7798815 0.762167 1.43029 0.48055615 0.02195055 3.002425 7.40763 9.300225 16.5863 9.96602 5.08661 2.621885 8.56457 4.04048 1.474065 1.14828 0.7377205 0.346397
"66" 10.25 45 0 0.06252805 0.0379409 0.3736165 1.43003 2.56429 1.17179465 1.90423 3.458565 1.0753069 0.02426175 3.1467 6.58487 15.2694 9.748675 8.639535 6.088645 3.3391 3.164625 2.7073 3.44444 2.67366 1.723825 0.809421
"67" 10.35 44 0.02397455 0.0050006 0.59059 1.22647 1.80928 2.036445 0.243657 0.276269 0.530639 0.154009 0 12.4172 13.15339 2.41384 3.97565 3.402515 2.71203 2.62134 2.470825 1.67785 7.37521 5.833505 3.69104 1.73313
"68" 10.35 44.1 0 0 0 0.226593 1.080465 1.555205 1.0684302 1.129375 0.37739995 0.0178205 0 2.30706 21.174955 1.72809 1.399035 4.182025 3.08826 3.814 7.642345 3.420245 5.332415 4.308775 2.66869 1.253085
"69" 10.35 44.2 0.002886575 0 0 0.2595505 1.159016 1.781405 0.6081295 0.12342905 0.0355129 0 0 9.27726 14.48455 1.63827 4.40637 4.68832 3.03568 5.506335 2.302475 2.268125 5.527185 4.43121 2.766165 1.29885
"70" 10.35 44.3 0.002886575 0 0 0.2595505 1.159016 1.781405 0.6081295 0.12342905 0.0355129 0 0 9.27726 14.48455 1.63827 4.40637 4.68832 3.03568 5.506335 2.302475 2.268125 5.527185 4.43121 2.766165 1.29885
"71" 10.35 44.4 0.0647929 1.0790755 0.6450815 0.4251475 1.84454 2.91797 0.0946975 0.0997276 0.0286936 0 0 7.516155 13.8881 3.358165 4.87784 6.16654 4.51908 6.01328 1.95485 2.366815 5.24781 4.17441 2.62635 1.233205
"72" 10.35 44.5 0.5234505 1.149771 0.635827 0.71057095 2.94931 4.655195 0.7294222 0.031656 0.0090044 0 0 5.862665 8.30462 7.67095 6.67807 13.05556 2.455985 3.65252 4.322295 8.563525 1.354795 1.052587 0.678027 0.3183675
"73" 10.35 44.6 0.5234505 1.149771 0.635827 0.71057095 2.94931 4.655195 0.7294222 0.031656 0.0090044 0 0 5.862665 8.30462 7.67095 6.67807 13.05556 2.455985 3.65252 4.322295 8.563525 1.354795 1.052587 0.678027 0.3183675
"74" 10.35 44.7 0.899364 0.3011726 0.04124395 0.231831 1.0111195 1.591155 0.83643205 0.04248305 0.0116132 0 0 4.963285 6.506575 9.54753 21.5123 6.963105 7.20511 5.505565 6.143905 4.04027 2.130595 1.698975 1.0662915 0.500676
"75" 10.35 44.8 0.899364 0.3011726 0.04124395 0.231831 1.0111195 1.591155 0.83643205 0.04248305 0.0116132 0 0 4.963285 6.506575 9.54753 21.5123 6.963105 7.20511 5.505565 6.143905 4.04027 2.130595 1.698975 1.0662915 0.500676
"76" 10.35 44.9 0.162131 0.0420397 0 0.327193 1.326795 2.245665 0.87371725 0.05589095 0.0142918 0.0609458 0.01991355 2.694645 4.676295 8.13831 17.694335 8.740155 8.33049 5.10754 6.853065 3.404205 2.9079 2.278305 1.455305 0.683338
"77" 10.35 45 0 0.0785522 0.047664 0.60697 2.381755 4.1659 1.0421895 0.6878335 1.1737955 0.40716415 0.02322235 2.985045 6.24073 14.0981 8.6922 8.228065 5.739425 3.16379 4.102325 2.863445 3.26217 2.53463 1.632605 0.766589
"78" 10.45 44 0.01630875 0.004228775 0.3843595 0.887757 1.67951 1.940025 0.255415 0.0488943 0.0947009 0.02748535 0 12.9076 17.9091 2.310915 3.156895 4.131685 2.478815 2.755905 3.751255 2.07481 1.659565 1.521775 0.830555 0.389987
"79" 10.45 44.1 0 0 0.0349551 0.450694 1.78313 2.71561 0.4529176 0.4809385 0.18798795 0.0168544 0 7.295085 14.904 1.273185 1.477612 2.40817 7.069365 6.741425 7.13978 3.202405 2.0109 1.812135 1.006385 0.472548
"80" 10.45 44.2 0.0029508 0 0 0.80067 3.281535 5.495345 0.5583635 0.0666585 0.01917895 0 0 3.044655 7.055275 1.82809 3.285165 4.96756 3.1091 5.545205 4.96909 8.02391 5.600475 4.58235 2.802845 1.31608
"81" 10.45 44.3 0.0029508 0 0 0.80067 3.281535 5.495345 0.5583635 0.0666585 0.01917895 0 0 3.044655 7.055275 1.82809 3.285165 4.96756 3.1091 5.545205 4.96909 8.02391 5.600475 4.58235 2.802845 1.31608
"82" 10.45 44.4 0.003206865 0 0 0.83953 3.46427 5.762065 0.604361 0.0750303 0.0215877 0 0 3.263685 7.171255 6.186735 3.9358 5.78663 3.80697 6.058345 5.030665 7.652795 5.055065 3.923475 1.87308 0.6293015
"83" 10.45 44.5 0.493826 2.467225 1.503715 0.534026 1.89392 2.753825 2.3825605 0.06046035 0.07179305 0.01847985 0 5.49705 7.504115 8.00018 6.98669 11.020295 3.74279 4.301475 4.04516 7.943355 2.570205 2.01145 1.2863 0.603981
"84" 10.45 44.6 0.493826 2.467225 1.503715 0.534026 1.89392 2.753825 2.3825605 0.06046035 0.07179305 0.01847985 0 5.49705 7.504115 8.00018 6.98669 11.020295 3.74279 4.301475 4.04516 7.943355 2.570205 2.01145 1.2863 0.603981
"85" 10.45 44.7 0.8826295 0.2288035 0 0.2616395 1.1646545 1.795745 1.0928625 0.3261325 0.0938345 0 0 1.801315 3.14395 9.559305 15.635415 14.08717 7.04397 6.685095 7.151915 4.26879 2.098295 1.672175 1.050124 0.493086
"86" 10.45 44.8 0.8826295 0.2288035 0 0.2616395 1.1646545 1.795745 1.0928625 0.3261325 0.0938345 0 0 1.801315 3.14395 9.559305 15.635415 14.08717 7.04397 6.685095 7.151915 4.26879 2.098295 1.672175 1.050124 0.493086
"87" 10.45 44.9 0.158922 0.1092218 0.0413054 0.397514 1.664925 2.72831 1.1876505 0.3382065 0.097149 0 0 1.116265 3.343935 8.15389 5.52165 15.00834 8.842365 6.834635 5.96811 4.026675 2.89615 2.264485 1.449425 0.680577
"88" 10.45 45 0.00247747 0.9484475 0.647804 0.6047885 2.10814 3.369705 1.0264245 0.6402135 1.15878 0.3317595 0 1.243845 4.13036 9.10043 8.67114 6.373635 6.252435 5.01121 6.30541 3.43106 3.21906 2.500125 1.61103 0.756459
"89" 10.55 44 0.0107252 0.002780995 0.441196 1.348161 3.324395 4.485845 0.0197612 0.05335945 0.1053946 0.030589 0 4.489325 12.1108 2.837805 2.14733 4.330855 7.146545 6.058215 5.16535 2.625235 1.93066 1.87827 0.7153785 0.240347
"90" 10.55 44.1 0 0 0 0.704405 2.98796 4.83464 0.3516115 0.8086545 1.440155 0.4102075 0 5.697115 10.3244 1.953485 1.697385 2.34165 3.947385 4.787025 9.16623 9.1052 3.15144 2.788965 1.57719 0.7405675
"91" 10.55 44.2 0 0 0 0.691345 3.00082 4.744995 0.5333895 0.4200155 0.644064 0.177747 0 2.69605 6.40749 2.269815 2.100545 4.863565 5.27272 6.450615 7.32219 7.32219 4.997375 4.26683 2.501015 1.17435
"92" 10.55 44.3 0 0 0 0.691345 3.00082 4.744995 0.5333895 0.4200155 0.644064 0.177747 0 2.69605 6.40749 2.269815 2.100545 4.863565 5.27272 6.450615 7.32219 7.32219 4.997375 4.26683 2.501015 1.17435
"93" 10.55 44.4 0.00110554 0.414934 0.2517745 0.878865 3.62344 6.032015 1.774856 0.405781 0.6371345 0.176784 0 2.656145 8.51094 4.33452 3.47724 4.32923 5.53045 7.41651 9.675775 7.82632 4.15232 3.36689 1.53858 0.5169195
"94" 10.55 44.5 0.2814705 1.380925 0.866564 0.65867 2.4095 3.739725 2.120955 0.02640925 0.05216315 0.01513945 0 1.83723 7.56935 7.78929 6.005075 5.73428 9.98669 5.93253 12.545 8.964105 2.333725 1.880005 1.1679475 0.54841
"95" 10.55 44.6 0.2814705 1.380925 0.866564 0.65867 2.4095 3.739725 2.120955 0.02640925 0.05216315 0.01513945 0 1.83723 7.56935 7.78929 6.005075 5.73428 9.98669 5.93253 12.545 8.964105 2.333725 1.880005 1.1679475 0.54841
"96" 10.55 44.7 0.7341775 0.2400237 0.03012965 0.2497595 1.09084 1.71421 2.2948005 0.2844535 0.081843 0 0 1.553655 2.54953 7.741825 5.8234 16.9685 9.23418 7.56514 9.85281 7.43105 3.856565 3.044725 1.93008 0.906269
"97" 10.55 44.8 0.7341775 0.2400237 0.03012965 0.2497595 1.09084 1.71421 2.2948005 0.2844535 0.081843 0 0 1.553655 2.54953 7.741825 5.8234 16.9685 9.23418 7.56514 9.85281 7.43105 3.856565 3.044725 1.93008 0.906269
"98" 10.55 44.9 0.127452 1.578065 0.9374895 0.351451 1.500745 2.41216 1.51541 1.229425 1.071541 0.2438545 0 1.654395 3.22979 7.46218 5.398705 10.71264 7.19384 5.31435 5.78436 3.71545 8.001465 6.264535 4.004455 1.880295
"99" 10.55 45 0.00139482 0.478138 0.9107685 1.460545 2.398605 3.31823 1.68779 1.403575 1.14216 0.250866 0 1.011862 2.377725 7.221965 5.99866 5.35724 5.290495 3.928915 5.84512 4.052185 7.766495 6.036055 3.886865 1.825075
"100" 10.65 44 0 0 0.0491039 1.28512415 4.97797 8.28979 0.1571639 0.1909215 0.1274315 0.0246295 0 3.77394 8.92976 1.5607065 2.65794 2.150831 2.37845 5.85079 7.31349 8.98321 3.31357 2.921925 1.2277945 0.412504
"101" 10.65 44.1 0.0002044175 0 0.0309331 0.3033501 1.304835 1.74779 0.360342 0.834576 1.48852 0.4241405 0 4.37831 8.85179 1.7706735 1.1816835 2.786355 4.09606 7.36767 9.463325 9.40008 3.22321 2.748535 1.194315 0.4012555
